"EbayEnterprise_Eb2cPayment_GiftCard_Account_Exists", "This gift card account is already in the quote."
"EbayEnterprise_Eb2cPayment_GiftCard_Invalid_Pan", "Invalid gift card payment account numbers"
"EbayEnterprise_Eb2cPayment_GiftCard_Invalid_Pin", "Invalid gift card personal identification numbers"
"EbayEnterprise_Eb2cPayment_GiftCard_Removed", "Gift Card ""%s"" was removed."
"EbayEnterprise_Eb2cPayment_GiftCard_Wrong_Account", "Wrong gift card account"
"EbayEnterprise_Eb2cPayment_GiftCard_Not_Redeemable", "The gift card account is not redeemable."
"EbayEnterprise_Eb2cPayment_Admin_Dasboard_Payment_Config_Eb2c_Title", "Payment Bridge and eBay Enterprise Credit Card"
"EbayEnterprise_Eb2cPayment_Admin_Dasboard_Payment_Config_None_Eb2c_Title", "This store has no payment methods configured. (Note: the ""free"" payment method must be enabled for customers to use gift cards.)"
"EbayEnterprise_Eb2cPayment_Admin_System_Config_PBridge_Comments", "click here to <a href=""%s"">Configure Payment Bridge</a>"
"EbayEnterprise_Eb2cPayment_Paypal_Request_Failed", "The PayPal request was unsuccessful.<br/>%s"
"EbayEnterprise_Eb2cPayment_Paypal_Giftwrap_Name", "Gift Wrap"
"EbayEnterprise_Eb2cPayment_Paypal_Promotional_Rounding_Adjustment", "Promotional Rounding Adjustment"
